,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
2830,2021 Honda City,VX CVT Petrol,₹ 15 Lakh,Jun-21,"10,000 km",Petrol,18 kmpl,Automatic,Silver,Not Available,First,Registered at,Less Driven Car,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2831,2021 Kia Seltos,GTX Plus AT 1.5 Diesel [2019-2020],₹ 19.5 Lakh,Jun-21,"15,000 km",Diesel,18 kmpl,Automatic,Maroon,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Single Owner, Alloy Wheels, Less Driven, Original Paint & Finance Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2832,2014 Mercedes-Benz S-Class,S 500,₹ 62 Lakh,Feb-14,"23,000 km",Petrol,"Automatic - 9 Gears, Paddle Shift ",Automatic,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2833,2017 BMW 3-Series,320d Luxury Line,₹ 32 Lakh,May-17,"51,000 km",Diesel,22.69 kmpl,Automatic,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2834,2017 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.01 Lakh,May-17,"26,035 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2835,2017 Hyundai Eon,Era +,₹ 3.53 Lakh,May-17,"22,454 km",Petrol,21.1 kmpl,Manual,Black,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2836,2015 Maruti Suzuki Wagon R,VXI,₹ 3.95 Lakh,May-15,"66,143 km",Petrol,20.5 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2837,2015 Maruti Suzuki Alto,VXi [2014-2019],₹ 2.9 Lakh,Apr-15,"51,759 km",Petrol,24.07 kmpl,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2838,2021 Renault Triber,RXZ [2019-2020],₹ 7.39 Lakh,May-21,"15,952 km",Petrol,20 kmpl,Manual,Red,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2839,2019 Renault Triber,RXZ [2019-2020],₹ 7.29 Lakh,May-19,"23,694 km",Petrol,20 kmpl,Manual,Yellow,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
